timestamp;id;action;st_key;value;remark
2024-01-27 07:02:54.473175;-;loaded_login;;;
2024-01-27 07:20:06.282361;-;loaded_login;;;
2024-01-27 07:20:25.490477;-;loaded_login;;;
2024-01-27 07:20:25.670121;-;loaded_login;;;
2024-01-27 07:20:25.708152;-;loaded_login;;;
2024-01-27 07:20:28.875923;-;loaded_login;;;
2024-01-27 07:20:29.046826;-;loaded_login;;;
2024-01-27 07:20:29.696904;1;entered_valid_credentials;;;
2024-01-27 07:20:50.181468;1;entered_valid_totp;;;
2024-01-27 07:21:17.333215;1;logout;;;
2024-01-27 07:21:17.374651;-;loaded_login;;;
2024-01-27 07:21:26.048178;-;loaded_login;;;
2024-01-27 07:22:04.335869;-;loaded_login;;;
2024-01-27 07:22:04.955121;1;entered_valid_credentials;;;
2024-01-27 07:26:08.266667;-;loaded_login;;;
2024-01-27 07:27:21.740659;-;loaded_login;;;
2024-01-27 14:33:54.914823;-;loaded_login;;;
2024-01-27 14:33:59.526464;-;loaded_login;;;
2024-01-27 14:34:13.073558;-;loaded_login;;;
2024-01-27 14:34:43.721875;-;loaded_login;;;
2024-01-27 14:34:54.032822;-;loaded_login;;;
2024-01-27 14:34:54.247059;-;loaded_login;;;
2024-01-27 14:34:54.864596;3;entered_valid_credentials;;;
2024-01-27 14:34:59.656692;-;loaded_login;;;
2024-01-27 14:34:59.766708;-;loaded_login;;;
2024-01-27 14:35:00.442740;4;entered_valid_credentials;;;
2024-01-27 14:36:38.453972;3;finished_totp_setup;;;
2024-01-27 14:38:19.385379;-;loaded_login;;;
2024-01-27 14:38:24.689941;-;loaded_login;;;
2024-01-27 14:38:30.016596;-;loaded_login;;;
2024-01-27 14:38:30.625695;4;entered_valid_credentials;;;
2024-01-27 14:41:21.377771;4;finished_totp_setup;;;
2024-01-27 15:07:08.494705;-;loaded_login;;;
2024-01-27 15:07:12.179065;-;loaded_login;;;
2024-01-27 15:07:12.416843;-;loaded_login;;;
2024-01-27 15:07:12.457542;-;loaded_login;;;
2024-01-27 15:07:16.477794;-;loaded_login;;;
2024-01-27 15:07:17.083473;3;entered_valid_credentials;;;
2024-01-27 15:07:46.419209;3;entered_valid_totp;;;
2024-01-27 15:12:58.598277;-;loaded_login;;;
2024-01-27 15:12:59.955334;-;loaded_login;;;
2024-01-27 15:12:59.955334;-;loaded_login;;;
2024-01-27 15:13:03.732963;3;logout;;;
2024-01-27 15:13:03.732963;3;logout;;;
2024-01-27 15:13:03.777508;-;loaded_login;;;
2024-01-27 15:13:03.777508;-;loaded_login;;;
2024-01-27 15:13:37.122781;-;loaded_login;;;
2024-01-27 15:13:37.122781;-;loaded_login;;;
2024-01-27 15:15:20.779832;-;loaded_login;;;
2024-01-27 15:15:20.779832;-;loaded_login;;;
2024-01-27 15:15:21.388286;3;entered_valid_credentials;;;
2024-01-27 15:15:21.388286;3;entered_valid_credentials;;;
2024-01-27 15:15:27.399245;3;entered_valid_totp;;;
2024-01-27 15:15:27.399245;3;entered_valid_totp;;;
2024-01-27 15:17:54.096694;3;edited_text;banking-recipient;anonymisiert;
2024-01-27 15:17:54.096694;3;edited_text;banking-recipient;anonymisiert;
2024-01-27 15:17:54.254229;-;loaded_login;;;
2024-01-27 15:17:54.254229;-;loaded_login;;;
2024-01-27 15:17:57.292964;3;edited_text;banking-value;2;
2024-01-27 15:17:57.292964;3;edited_text;banking-value;2;
2024-01-27 15:18:00.667038;-;loaded_login;;;
2024-01-27 15:18:00.667038;-;loaded_login;;;
2024-01-27 15:18:01.276562;4;entered_valid_credentials;;;
2024-01-27 15:18:01.276562;4;entered_valid_credentials;;;
2024-01-27 15:18:11.540291;3;edited_text;banking-message;anonymisiert;
2024-01-27 15:18:11.540291;3;edited_text;banking-message;anonymisiert;
2024-01-27 15:18:17.303614;3;edited_text;banking-value;8,50;
2024-01-27 15:18:17.303614;3;edited_text;banking-value;8,50;
2024-01-27 15:18:21.398931;3;clicked;banking-confirm;True;
2024-01-27 15:18:21.398931;3;clicked;banking-confirm;True;
2024-01-27 15:18:29.005303;4;entered_valid_totp;;;
2024-01-27 15:18:29.005303;4;entered_valid_totp;;;
2024-01-27 15:19:17.680266;3;logout;;;
2024-01-27 15:19:17.680266;3;logout;;;
2024-01-27 15:19:17.723088;-;loaded_login;;;
2024-01-27 15:19:17.723088;-;loaded_login;;;
2024-01-27 15:19:19.412186;-;loaded_login;;;
2024-01-27 15:19:19.412186;-;loaded_login;;;
2024-01-27 15:19:41.025871;4;edited_text;banking-recipient;anonymisiert;
2024-01-27 15:19:41.025871;4;edited_text;banking-recipient;anonymisiert;
2024-01-27 15:19:51.676126;4;edited_text;banking-recipient;anonymisiert;
2024-01-27 15:19:51.676126;4;edited_text;banking-recipient;anonymisiert;
2024-01-27 15:19:59.035675;4;edited_text;banking-value;34,00;
2024-01-27 15:19:59.035675;4;edited_text;banking-value;34,00;
2024-01-27 15:20:08.643253;4;edited_text;banking-message;anonymisiert;
2024-01-27 15:20:08.643253;4;edited_text;banking-message;anonymisiert;
2024-01-27 15:20:08.868297;4;clicked;banking-confirm;True;
2024-01-27 15:20:08.868297;4;clicked;banking-confirm;True;
2024-01-27 15:24:06.447220;4;logout;;;
2024-01-27 15:24:06.447220;4;logout;;;
2024-01-27 15:24:06.489094;-;loaded_login;;;
2024-01-27 15:24:06.489094;-;loaded_login;;;
2024-01-27 16:15:22.588959;-;loaded_login;;;
2024-01-27 16:15:22.588959;-;loaded_login;;;
2024-01-27 16:15:24.801550;-;loaded_login;;;
2024-01-27 16:15:24.801550;-;loaded_login;;;
2024-01-27 16:15:24.971165;-;loaded_login;;;
2024-01-27 16:15:24.971165;-;loaded_login;;;
